variant,EX,delta_vs_full,p_mcnemar,signif,cohens_h
abl_Qwen2.5-Coder-7B-Instruct_cot,0.675,-0.06999999999999995,0.025781877777472546,True,-0.15451864928863746
abl_Qwen2.5-Coder-7B-Instruct_fewshot,0.79,0.04500000000000004,0.049041748046875,True,0.1066389377381034
abl_Qwen2.5-Coder-7B-Instruct_no_schemalink,0.765,0.020000000000000018,0.5562984612747348,False,0.046510812408652846
abl_Qwen2.5-Coder-7B-Instruct_no_selfcorr,0.665,-0.07999999999999996,0.0004024505615234375,True,-0.17578617778016747
