temp,EX_mean,EX_std,n_reps,shapiro_p
0.0,0.745,0.0,1,
0.4,0.758,0.020493901531919215,5,0.23626391963881804
0.8,0.7190000000000001,0.0489131884055824,5,0.4345325554196293
